iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,classification,gov_type,corruption,development,land_cond,GDP_per_energy,pop_total,urban_pop_p,cluster_num
IND,Asia,India,9735850,141360,7054.941,102.434,1380004385,450.419,28.2,5.989,3.414,6426.674,282.28,10.39,1.9,20.6,0.53,69.66,0.64,BRICS,par_rep,highly,developing,sea_access,8.448.227.005,1295604184,32.384,4
IRL,Europe,Ireland,74682,2099,15124.562,425.088,4937796,69.874,38.7,13.928,8.678,67335.293,126.459,3.28,23,25.7,2.96,82.3,0.938,OECD,par_rep,less,developed,sea_access,1.774.102.039,4657740,62.34,3
ISL,Europe,Iceland,5506,28,16134.799,82.051,341250,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,2.91,82.99,0.935,OECD,par_rep,less,developed,islands,2.387.508.447,327386,93.667,3
ISR,Asia,Israel,348285,2932,40238.386,338.743,8655541,402.606,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,2.99,82.97,0.903,OECD,par_rep,less,developed,sea_access,1.154.714.367,8215700,92.104,3
ITA,Europe,Italy,1757394,61240,29066.174,1012.87,60461828,205.859,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,3.18,83.51,0.88,OECD,par_rep,less,developed,sea_access,1.409.972.569,60789140,69.272,3
JAM,North America,Jamaica,11271,265,3806.277,89.492,2961161,266.879,31.4,9.684,6.39,8193.571,206.537,11.28,5.3,28.6,1.7,74.47,0.732,NC,const_mon,highly,developing,islands,8.209.153.654,2875136,54.584,4
JPN,Asia,Japan,166592,2334,1317.178,18.454,126476458,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,13.05,84.63,0.909,OECD,const_mon,less,developed,islands,1.075.766.799,127276000,91.304,3
KAZ,Asia,Kazakhstan,181721,2544,9678.002,135.487,18776707,6.681,30.6,6.991,4.625,24055.588,466.792,7.11,7,43.1,6.7,73.6,0.8,NC,pres_rep,highly,transition,landlocked,5.318.885.454,17288285,57.118,1
KEN,Africa,Kenya,89100,1545,1657.018,28.733,53771300,87.324,20,2.686,1.528,2993.028,218.637,2.92,1.2,20.4,1.4,66.7,0.59,NC,pres_rep,highly,developing,sea_access,5.362.281.045,46699981,25.221,4
KWT,Asia,Kuwait,144900,900,33929.953,210.745,4270563,232.128,33.7,2.345,1.114,65530.537,132.235,15.84,2.7,37,2,75.49,0.803,NC,const_mon,highly,developing,sea_access,7.908.224.803,3690942,100,2
LBN,Asia,Lebanon,139135,1136,20384.76,166.436,6825442,594.561,31.1,8.514,5.43,13367.565,266.591,12.71,26.9,40.7,2.9,78.93,0.757,NC,par_rep,highly,developing,sea_access,1.032.005.515,6262410,87.947,4
LKA,Asia,Sri Lanka,29378,142,1371.954,6.631,21413250,341.955,34.1,10.069,5.331,11669.077,197.093,10.68,0.3,27,3.6,76.98,0.77,NC,semi_pres_rep,highly,developing,islands,2.065.290.911,20778000,18.218,4
LTU,Europe,Lithuania,77426,673,28441.485,247.218,2722291,45.135,43.5,19.002,13.778,29524.265,342.989,3.67,21.3,38,6.56,75.93,0.858,OECD,semi_pres_rep,less,developed,sea_access,1.098.848.099,2932367,67.108,3
LUX,Europe,Luxembourg,38476,360,61465.615,575.102,625976,231.447,39.7,14.312,9.842,94277.965,128.275,4.42,20.9,26,4.51,82.25,0.904,OECD,const_mon,less,developed,landlocked,1.345.980.917,556319,89.884,3
LVA,Europe,Latvia,22104,288,11718.787,152.688,1886202,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51,5.57,75.29,0.847,OECD,par_rep,less,developed,sea_access,1.019.910.991,1993782,67.952,3
MAR,Africa,Morocco,384088,6370,10405.912,172.579,36910558,80.08,29.6,6.769,4.209,7485.013,419.146,7.14,0.8,47.1,1.1,76.68,0.667,NC,const_mon,NI,developing,sea_access,1.299.052.363,34192347,60.256,4
MDA,Europe,Moldova,119204,2460,29550.098,609.822,4033963,123.655,37.6,10.864,6.955,5189.972,408.502,5.72,5.9,44.6,5.8,71.9,0.7,NC,par_rep,highly,developing,landlocked,6.152.179.727,3556397,42.496,1
MEX,North America,Mexico,1193255,110874,9254.863,859.937,128932753,66.444,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,1.38,75.05,0.774,OECD,pres_rep,highly,developing,sea_access,1.098.026.028,120355128,78.993,2
MLT,Europe,Malta,10699,157,24231.155,355.574,441539,1454.037,42.4,19.426,11.324,36513.323,168.711,8.83,20.9,30.2,4.485,82.53,0.878,NC,par_rep,less,developed,islands,1.796.704.348,434558,94.347,3
MMR,Asia,Myanmar,101739,2151,1869.866,39.533,54409794,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,0.9,67.13,0.578,NC,par_rep,NI,developing,sea_access,128.270.944,52280807,29.65,4
MOZ,Africa,Mozambique,16373,136,523.845,4.351,31255435,37.728,17.7,3.158,1.87,1136.103,329.942,3.3,5.1,29.1,0.7,60.85,0.437,NC,semi_pres_rep,highly,developing,sea_access,2.761.574.282,26286163,33.878,4
MUS,Africa,Mauritius,515,10,404.948,7.863,1271767,622.962,37.4,10.945,5.884,20292.745,224.644,22.02,3.2,40.7,3.4,74.99,0.79,NC,par_rep,less,developing,islands,1.642.568.457,1260934,41.111,4
MYS,Asia,Malaysia,75306,388,2326.701,11.988,32365998,96.254,29.9,6.293,3.407,26808.164,260.942,16.74,1,42.4,1.9,76.16,0.802,NC,const_mon,less,developing,sea_access,8.153.090.867,29866559,73.577,2
NER,Africa,Niger,1987,79,82.085,3.264,24206636,16.955,15.1,2.553,1.378,926,238.339,2.42,0.1,15.4,0.3,62.42,0.354,NC,semi_pres_rep,highly,developing,landlocked,6.000.358.809,19240157,16.219,4
NOR,Europe,Norway,39163,361,7223.99,66.59,5421242,14.462,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,3.6,82.4,0.953,OECD,const_mon,less,developed,sea_access,1.131.739.962,5137232,80.692,3
NPL,Asia,Nepal,243377,1637,8352.905,56.183,29136808,204.43,25,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,0.3,70.78,0.574,NC,par_rep,highly,developing,landlocked,5.490.792.021,26906926,18.182,4
NZL,Oceania,New Zealand,2088,25,432.994,5.184,4822233,18.206,37.9,15.322,9.72,36085.843,128.797,8.08,14.8,17.2,2.61,82.29,0.917,OECD,const_mon,less,developed,islands,7.589.666.583,4509700,86.281,3
OMN,Asia,Oman,125325,1454,24541.664,284.728,5106622,14.98,30.7,2.355,1.53,37960.709,266.342,12.61,0.5,15.6,1.6,77.86,0.821,NC,abs_mon,less,developing,sea_access,6.572.250.711,4027260,80.145,2
PAK,Asia,Pakistan,426142,8547,1929.184,38.693,220892331,255.573,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,0.6,67.27,0.562,NC,isl_par_rep,highly,developing,sea_access,9.446.325.077,195306825,35.819,4
PAN,North America,Panama,181166,3241,41987.426,751.141,4314768,55.133,29.7,7.918,5.03,22267.037,128.346,8.33,2.4,9.9,2.3,78.51,0.789,NC,pres_rep,highly,developing,sea_access,1.855.011.492,3901315,66.371,2
PHL,Asia,Philippines,442785,8670,4040.706,79.119,109581085,351.873,25.2,4.803,2.661,7599.188,370.437,7.07,7.8,40.8,1,71.23,0.699,NC,pres_rep,highly,developing,islands,1.382.880.609,100513138,46.093,4
POL,Europe,Poland,1076180,20592,28435.311,544.091,37846605,124.027,41.8,16.763,10.202,27216.445,227.331,5.91,23.3,33.1,6.62,78.73,0.865,OECD,par_rep,less,developed,sea_access,9.846.902.035,38011735,60.403,3
PRT,Europe,Portugal,327976,5122,32164.894,502.319,10196707,112.371,46.2,21.502,14.924,27936.896,127.842,9.85,16.3,30,3.39,82.05,0.847,OECD,semi_pres_rep,less,developed,sea_access,1.279.614.618,10401062,62.936,3
PRY,South America,Paraguay,89421,1887,12537.066,264.563,7132530,17.144,26.5,6.378,3.833,8827.01,199.128,8.27,5,21.6,1.3,74.25,0.702,NC,pres_rep,highly,developing,landlocked,1.388.203.921,6599526,60.474,2
